player_id,player_name,season,season_year,team_title,games,time,goals,assists,shots,key_passes,xG,xA,npg,npxG,xG_per90,xA_per90,goals_per90,assists_per90,shots_per90,npxG_per90,position,position_simple,pos_Forward,pos_Midfielder,age,age_squared,market_value_in_eur,log_market_value,match_type,fuzzy_score
2270,Antoine Griezmann,2014/15,2014,Atletico Madrid,37,2490,22,1,78,23,14.70965911448002,2.6077212067320943,22,14.70965911448002,0.531674425824579,0.0942549833758588,0.7951807228915663,0.036144578313253,2.819277108433735,0.531674425824579,F M S,Forward,1,0,23.0,529.0,45000000.0,17.622173047734595,exact,100.0
1125,Carlos Bacca,2014/15,2014,Sevilla,37,2581,20,6,69,31,19.27924784179777,4.728215850889683,14,13.33366437535733,0.6722713311746606,0.1648738576443515,0.6974041069352964,0.2092212320805889,2.4060441689267726,0.4649476147935528,F S,Forward,1,0,28.0,784.0,25000000.0,17.034386382832476,exact,100.0
2098,Luis Suárez,2014/15,2014,Barcelona,27,2182,16,14,75,60,14.542303636670113,13.520650519058108,16,14.542303636670113,0.5998200400093081,0.557680360547768,0.6599450045829515,0.5774518790100825,3.093492208982585,0.5998200400093081,F S,Forward,1,0,27.0,729.0,80000000.0,18.197537192638155,exact,100.0
2370,Karim Benzema,2014/15,2014,Real Madrid,29,2325,15,10,69,45,12.412422547116876,7.889433122240007,15,12.412422547116876,0.480480872791621,0.3053974111834842,0.5806451612903226,0.3870967741935484,2.670967741935484,0.480480872791621,F,Forward,1,0,27.0,729.0,50000000.0,17.72753356339242,exact,100.0
4060,Sergio García,2014/15,2014,Espanyol,35,3030,14,9,80,52,10.27076517418027,8.130713621154428,12,8.784336168318987,0.3050722328964436,0.2415063451828047,0.4158415841584159,0.2673267326732673,2.376237623762377,0.2609208762867026,F M S,Forward,1,0,31.0,961.0,6000000.0,15.60727002719233,exact,100.0
1732,Nolito,2014/15,2014,Celta Vigo,36,2970,13,13,105,96,11.040581971406937,14.72691248357296,10,8.067464888095856,0.3345630900426344,0.4462700752597867,0.3939393939393939,0.3939393939393939,3.1818181818181817,0.2444686329726016,F M S,Forward,1,0,28.0,784.0,10000000.0,16.11809565095832,exact,100.0
2251,Gareth Bale,2014/15,2014,Real Madrid,31,2585,13,9,103,51,14.101813523098826,8.747156329452991,12,13.3585365395993,0.4909722309782957,0.3045431604064871,0.4526112185686654,0.3133462282398452,3.5860735009671183,0.4650941154986217,F M S,Forward,1,0,25.0,625.0,80000000.0,18.197537192638155,exact,100.0
1709,Cristhian Stuani,2014/15,2014,Espanyol,37,1739,12,0,45,8,10.008840000256896,0.8513315953314304,10,8.52228500507772,0.5179963197372747,0.0440597145369918,0.621046578493387,0.0,2.3289246693502013,0.4410613286124179,F M S,Forward,1,0,28.0,784.0,4000000.0,15.201804919084164,exact,100.0
2087,David Barral,2014/15,2014,Levante,35,2656,11,0,74,14,10.158799225464463,0.4105841992422938,9,8.672241235151887,0.3442364195375759,0.0139128681972162,0.3727409638554216,0.0,2.5075301204819276,0.2938635960706588,F M S,Forward,1,0,31.0,961.0,2000000.0,14.50865773852422,exact,100.0
2380,Paco Alcácer,2014/15,2014,Valencia,32,2179,11,5,61,23,10.355727320536973,3.748622788116336,11,10.355727320536973,0.4277262316880805,0.1548306796376641,0.4543368517668655,0.2065167508031206,2.519504359798072,0.4277262316880805,F S,Forward,1,0,21.0,441.0,20000000.0,16.811242831518264,exact,100.0
4038,Joaquín Larrivey,2014/15,2014,Celta Vigo,35,2208,11,2,63,15,12.857861276715994,1.0615882892161608,11,12.857861276715994,0.5240976063878802,0.0432712617887022,0.4483695652173913,0.0815217391304347,2.5679347826086953,0.5240976063878802,F S,Forward,1,0,30.0,900.0,4000000.0,15.201804919084164,exact,100.0
2416,Carlos Vela,2014/15,2014,Real Sociedad,29,2057,9,3,61,21,4.972799095325172,3.0636547058820724,8,4.229521083645523,0.2175750698003235,0.13404420200748,0.3937773456490034,0.1312591152163345,2.6689353427321345,0.1850543984093811,F M S,Forward,1,0,25.0,625.0,18000000.0,16.70588231586044,exact,100.0
2591,Mikel Arruabarrena,2014/15,2014,Eibar,34,2560,9,3,36,29,6.2010744251310825,1.9117429852485657,7,4.714521382004023,0.2180065227585146,0.0672097143251448,0.31640625,0.10546875,1.265625,0.1657448923360789,F M S,Forward,1,0,31.0,961.0,1500000.0,14.22097566607244,exact,100.0
897,Juanmi,2014/15,2014,Malaga,34,2248,8,0,37,22,7.488385254517198,2.241188321262598,8,7.488385254517198,0.2998019007591405,0.0897272904420079,0.3202846975088968,0.0,1.4813167259786475,0.2998019007591405,F M S,Forward,1,0,21.0,441.0,7000000.0,15.761420707019589,exact,100.0
2442,Kevin Gameiro,2014/15,2014,Sevilla,26,919,8,2,32,19,9.376229289919138,2.843059314414859,6,7.889802489429712,0.9182379065209167,0.2784280068523801,0.7834602829162133,0.1958650707290533,3.133841131664853,0.7726683613152058,F S,Forward,1,0,27.0,729.0,10000000.0,16.11809565095832,exact,100.0
2065,Vicente Iborra,2014/15,2014,Sevilla,26,2029,7,1,39,20,6.881373321637511,1.7642168924212456,7,6.881373321637511,0.3052358792249265,0.0782550617633869,0.3104977821586989,0.0443568260226712,1.7299162148841791,0.3052358792249265,M S,Midfielder,0,1,26.0,676.0,8000000.0,15.89495209964411,exact,100.0
2120,Gerard Moreno,2014/15,2014,Villarreal,26,1617,7,3,41,22,6.069447426125407,2.1075226198881865,7,6.069447426125407,0.3378171109160709,0.1173018155781922,0.3896103896103896,0.1669758812615955,2.282003710575139,0.3378171109160709,F S,Forward,1,0,22.0,484.0,4000000.0,15.201804919084164,exact,100.0
2200,Álvaro Vázquez,2014/15,2014,Getafe,21,1749,7,0,35,15,6.728370503522456,1.0610015969723463,6,5.985088483430445,0.3462283277970389,0.0545969946984054,0.3602058319039451,0.0,1.8010291595197256,0.3079805394561121,F M S,Forward,1,0,23.0,529.0,3000000.0,14.914122846632385,exact,100.0
2304,Leo Baptistao,2014/15,2014,Rayo Vallecano,25,1806,7,1,45,17,6.173106098547578,2.7550311870872974,7,6.173106098547578,0.3076298720206434,0.1372939129777723,0.3488372093023256,0.0498338870431893,2.2425249169435215,0.3076298720206434,F S,Forward,1,0,22.0,484.0,5000000.0,15.424948470398377,exact,100.0
2382,Pablo Piatti,2014/15,2014,Valencia,28,1920,7,6,30,53,4.2952605579048395,6.90936272777617,7,4.2952605579048395,0.2013403386517893,0.3238763778645079,0.328125,0.28125,1.40625,0.2013403386517893,F M S,Forward,1,0,25.0,625.0,8000000.0,15.89495209964411,exact,100.0
2384,Santi Mina,2014/15,2014,Celta Vigo,20,1171,7,1,34,9,7.878260970115662,0.8535907221958041,6,7.134983949363232,0.6055025510763532,0.0656047523463897,0.53800170794193,0.0768573868488471,2.613151152860803,0.5483762215565251,F M S,Forward,1,0,19.0,361.0,8000000.0,15.89495209964411,exact,100.0
2535,Imanol Agirretxe,2014/15,2014,Real Sociedad,31,1948,7,1,74,14,7.444437285885215,0.4598666932433843,7,7.444437285885215,0.3439421743992142,0.0212464077987189,0.3234086242299794,0.0462012320328542,3.4188911704312113,0.3439421743992142,F S,Forward,1,0,27.0,729.0,3500000.0,15.068273526459642,exact,100.0
575,Nordin Amrabat,2014/15,2014,Malaga,31,2037,6,4,47,34,7.050288911908865,4.17148865852505,3,4.077181529253721,0.3115002464760912,0.1843073045003704,0.2650957290132548,0.1767304860088365,2.0765832106038293,0.1801405683028153,F M S,Forward,1,0,27.0,729.0,6000000.0,15.60727002719233,exact,100.0
611,Nicolás Otamendi,2014/15,2014,Valencia,35,3102,6,0,20,3,3.1114870849996805,0.0812189001590013,6,3.1114870849996805,0.0902752539168185,0.0023564477802418,0.1740812379110251,0.0,0.5802707930367504,0.0902752539168185,D,Defender,0,0,26.0,676.0,25000000.0,17.034386382832476,exact,100.0
687,Pedro,2014/15,2014,Barcelona,35,1523,6,6,38,25,7.806145261973143,6.433853264898062,6,7.806145261973143,0.4612955177791089,0.3802014404732932,0.3545633617859488,0.3545633617859488,2.2455679579776757,0.4612955177791089,F S,Forward,1,0,27.0,729.0,20000000.0,16.811242831518264,exact,100.0
1674,Sofiane Feghouli,2014/15,2014,Valencia,33,1933,6,6,34,27,4.930529720615596,4.677291356027126,6,4.930529720615596,0.2295642394492517,0.2177735240778279,0.2793585100879462,0.2793585100879462,1.5830315571650284,0.2295642394492517,F M S,Forward,1,0,25.0,625.0,16000000.0,16.588099280204055,exact,100.0
1700,Lucas Pérez,2014/15,2014,Deportivo La Coruna,21,1560,6,3,49,24,6.267497669905424,2.1638087183237076,5,4.780941676348448,0.3615864040330052,0.1248351183648292,0.3461538461538462,0.1730769230769231,2.826923076923077,0.275823558250872,F M S,Forward,1,0,26.0,676.0,3000000.0,14.914122846632385,exact,100.0
