player_id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,position,team_title,npg,npxG,season
1674,Sofiane Feghouli,33,1933,6,4.930529720615596,6,4.677291356027126,34,27,F M S,Valencia,6,4.930529720615596,2014/15
1700,Lucas Pérez,21,1560,6,6.267497669905424,3,2.1638087183237076,49,24,F M S,Deportivo La Coruna,5,4.780941676348448,2014/15
2349,Ikechukwu Uche,23,1387,6,8.848521346226335,1,1.874442694708705,42,21,F S,Villarreal,5,8.105243364349008,2014/15
2511,Vitolo,28,2091,6,5.207567173987627,3,2.6266980543732643,31,16,F M S,Sevilla,6,5.207567173987627,2014/15
4133,Federico Piovaccari,28,1590,6,5.5489568673074245,0,0.21674519684165716,30,5,F M S,Eibar,6,5.5489568673074245,2014/15
1715,Álvaro Negredo,30,1524,5,7.124821193516254,4,4.415884301066399,54,22,F S,Valencia,4,6.381547190248966,2014/15
2085,Lombán,34,2986,5,3.3465600041672587,0,0.09974520280957222,19,3,D S,Elche,2,1.1168539999052882,2014/15
2089,Robert Ibáñez,21,1104,5,3.2557174004614353,1,1.7829102259129286,23,12,M S,"Granada,Valencia",5,3.2557174004614353,2014/15
2092,Gerard Piqué,27,2383,5,3.7534050419926643,1,0.8372067920863628,20,4,D S,Barcelona,5,3.7534050419926643,2014/15
2094,Ivan Rakitic,32,2042,5,3.106178796850145,7,4.0247916132211685,34,35,M S,Barcelona,5,3.106178796850145,2014/15
2167,Javi Guerra,13,681,5,4.91418182104826,0,1.0542622711509466,28,8,F S,Malaga,5,4.91418182104826,2014/15
2171,Manucho,37,1596,5,6.828244289383292,1,1.7725391974672675,61,15,F S,Rayo Vallecano,5,6.828244289383292,2014/15
2273,Tiago,31,2594,5,3.3833800861611962,4,3.5372594762593508,23,18,M,Atletico Madrid,5,3.3833800861611962,2014/15
2285,Fabián Orellana,35,2970,5,8.850873176008463,6,9.115631012246013,70,75,F M S,Celta Vigo,5,8.107598189264536,2014/15
2300,Samu García,32,2250,5,3.1882693832740188,1,3.5275333020836115,36,34,F M S,Malaga,5,3.1882693832740188,2014/15
2395,San José,28,2138,5,2.5964311733841896,1,1.0590603835880756,21,11,D M S,Athletic Club,5,2.5964311733841896,2014/15
2400,Raúl García,31,1682,5,5.8760093934834,3,3.462940599769354,52,12,F M S,Atletico Madrid,3,4.389454162213951,2014/15
2549,Gaël Kakuta,35,3067,5,6.406726185232401,7,7.143190296366811,69,63,D M,Rayo Vallecano,5,6.406726185232401,2014/15
4068,Florin Andone,20,1533,5,5.901718929409981,0,0.44885390624403954,38,10,F S,Cordoba,5,5.901718929409981,2014/15
4074,Kalu Uche,16,872,5,5.053276406601071,2,1.7769545782357454,25,11,F S,Levante,5,5.053276406601071,2014/15
48,Jhon Córdoba,26,1407,4,4.8475421611219645,0,0.3745182044804096,30,10,F S,Granada,4,4.8475421611219645,2014/15
1699,Shkodran Mustafi,33,2917,4,1.624908457044512,0,0.15360170416533947,19,3,D,Valencia,4,1.624908457044512,2014/15
2088,Edgar Méndez,30,1916,4,2.1988904224708676,1,0.6625679032877088,43,12,F M S,Almeria,4,2.1988904224708676,2014/15
2103,Aleix Vidal,31,2155,4,3.754334531724453,5,5.136826092377305,19,30,D F M S,Sevilla,4,3.754334531724453,2014/15
